net_node	b4015	b2424	b2751	b3992	b1109	b3094	b3993	b3847	b1729	b2898	b2304	b1112	b1136	b0114	b4290	b2013	b2741	b0720	b3035	b3236	b3991	b1702	b2752	b0168	b2211	b0152	b1300	b1705	b0311	b2210	b4040	b0779	b0777	b0313	b2523	b0778	b1324	b1494	b4490	b0312	b1301	b1611	b0776	b1056	b2309	b3070	b3005	b3414	b1679	b3006	b0151	b2531	b0803	b0755	b3908	b2392	b1496	b1019	b1018	b1020	b0591	b1495	b0775	b4291	b3337	b1680	b0592	b4567	b1681	b0589	b0804	b1252	b1682	b1684	b0774	b0583	b4293	b1683	b2676	b4292	b0590	b4367	b2675	b2673	b2674	b1452	b0150	b0597	b0588	b0593	b0596	b1102	b2155	b0586	b0584	b0595	b0805	b0594	b0585	b4511
2_32	0.03673231670819299	0.02575943033118444	0.012188986706833771	0.024230930411131224	0.017197779751882747	0.024006788060400686	0.02431122147740239	0.021255388752781545	0.010305213205889285	0.023999160503712424	0.03878212573797113	0.01162994132091616	0.029329120000079145	0.013832328312658904	0.012831710884864789	0.03113504872009676	0.03287529313422044	0.03738489321103644	0.015665964449273817	0.04757285628345975	0.031116661274744994	0.04739968283335272	0.022751151457167218	0.006551431725111745	0.029449191988104695	0.02447269804909069	0.022996052688362356	0.015777541118998983	0.01615101114137263	0.026646148076941323	0.03228692046812426	0.02522507810833896	0.027393517211287022	0.03423923000181944	0.031422718726717425	0.03318775337775293	0.024483146958893087	0.033919625228026495	0.024346759544360164	0.023098033863264422	0.034790258829830445	0.025704550528061143	0.04104660382988179	0.03457966680975133	0.04317574885866915	0.02944481840398916	0.019768035616040125	0.03667369686986138	0.02282107401248501	0.019365585335448743	0.02305885037499167	0.04150120884449787	0.0372993613682584	0.042947388225205274	0.030402522582412272	0.0344492128714452	0.03737196076935956	0.02803298296002793	0.03140318705893064	0.03862502744317364	0.024843990431295038	0.04843330720022904	0.057871660976165584	0.02263195842221727	0.034320216499625356	0.03571434178007826	0.031057521785463615	0.027557842546906575	0.038617662160387756	0.033026009879534635	0.03409405869017973	0.04193427560670371	0.033091613656661245	0.041707197980675126	0.056062865640696846	0.028786726624026815	0.03697977208213343	0.03378175733406008	0.029717808186684347	0.042873056280793576	0.03940895223234098	0.04780085766364406	0.03729025381211304	0.054408913720561	0.046467917800810055	0.048269383725164094	0.04164495165360116	0.039587789805878404	0.05507973783300191	0.055677326962409346	0.043968724408899096	0.045188911510861074	0.03941708709633418	0.04646737415154206	0.05416020287555684	0.04784496164643692	0.0660794760967453	0.040924363063625735	0.0631169280074379	0.06132939941806975
4_22	0.03481272136611602	0.049662147592116734	0.046848098896782986	0.047332218295414785	0.02659137653868693	0.02017122205702293	0.044741422541679676	0.04975046300021513	0.07076219785124171	0.032882590539989376	0.024045976106785272	0.01214306566292167	0.0314284477529303	0.04157990384437482	0.027408526722894955	0.03991908787910592	0.032263391619893556	0.05049403631373972	0.048689008296337766	0.038875126325159326	0.033794632200377706	0.04379195283499454	0.042384638033235444	0.03468960795008125	0.033006121120893184	0.022808553840546586	0.04171044689459308	0.01077513616615744	0.04731686453335071	0.04916250706678427	0.026530940306837003	0.03861450891613494	0.03812136514545761	0.048340004774422296	0.050049021280767825	0.03342751648489417	0.041721284644099854	0.042900936596807326	0.022660404561539504	0.05461392595556597	0.038138968746355806	0.041486701113947644	0.03850089983628702	0.03379375838168586	0.04596719594508525	0.05525810556316646	0.0206127510951436	0.04310479389840799	0.010917074229352952	0.027983064212397157	0.043814476337273534	0.007599445460228338	0.01025085329762887	0.03357895085068274	0.04074475314864123	0.031000143340699615	0.03984905313772996	0.044329326954532344	0.04209065111934218	0.03904916746738729	0.03235421733097932	0.03589110409696994	0.04895890392107749	0.03745536109522224	0.017716420717483472	0.03165805648181341	0.04362878798527936	0.015327715020238386	0.03419635144223665	0.05169701991298603	0.03703819477489095	0.04216984683179792	0.03936953299597412	0.03146815676756254	0.04426801070822867	0.04482641881240779	0.03205575465806654	0.0345961269939532	0.02189505429674199	0.05443549664147895	0.06002806929596105	0.033364704511390286	0.03992492273426901	0.034919278171770374	0.03903905853138445	0.053617667368761834	0.05984393931939702	0.04460149994234863	0.06193839041749338	0.06471584129458557	0.06051900536819743	0.06742215995737744	0.06419319309514399	0.07414847670038394	0.06998462225392305	0.06646327317702172	0.0788983637058337	0.07749003768411161	0.071376762897358	0.07062674134247116
6_24	0.04528809665511324	0.05100755702629711	0.046327862449431656	0.029326727868222546	0.014597131014494724	0.018842931624957537	0.027359575260870628	0.022137928573802368	0.05443855786854501	0.030314361857441074	0.031135898226808623	0.02157772816221004	0.03416114733412878	0.027243394830257173	0.02481425811110427	0.04048719067518791	0.045483477355787394	0.047684478887945025	0.02662764210090801	0.05984971647115134	0.032423669622160034	0.06376388454728821	0.04834335916777499	0.007273591747828212	0.03848700035040009	0.032553008014510554	0.03922318384131701	0.022200573480659735	0.015004686949245727	0.023050410685368727	0.027105059776012796	0.02061064800698309	0.02775250289613418	0.02901833404492371	0.016793337521826324	0.033236587584959176	0.038910689358309436	0.04869126795106604	0.04979833751649859	0.028909265923145078	0.03779330641542966	0.02528786586546622	0.038811241888460635	0.06333521315736113	0.05049492259213417	0.05582298568603239	0.030392870799093363	0.03567120685604419	0.04479476172470753	0.03387314951822107	0.035274141506950074	0.042462590445899895	0.049211307069999655	0.0423811654417946	0.03237301180601437	0.03696256878442128	0.054565863406207615	0.04553596068198362	0.05142384648985837	0.06356050974572658	0.035041368797008976	0.06961663974159776	0.06768129217605157	0.038076054216790445	0.05904248017824576	0.049343585465473794	0.03550889029918397	0.04914198133100511	0.04438417252099636	0.038679436929649036	0.05612263053905414	0.05037925585596281	0.06026557945702443	0.06423778512663147	0.049695037943741305	0.058191345398774186	0.04941084745916413	0.05198202716995326	0.06402279907493275	0.04022618710433823	0.05439123071859209	0.06536847370336618	0.05575297069460261	0.07353135426521595	0.07367469182603231	0.0729997810453602	0.06541054284742542	0.07080988203178917	0.06782326783738746	0.07648126388656418	0.07975892761402964	0.085958721545422	0.08725270695257448	0.07604983873437143	0.0813348369135573	0.09206417821686702	0.09035120203745267	0.09298389368798943	0.0949464656883548	0.09482490616723149
6_40	0.03931009676977293	0.049512722882696814	0.03705599042405017	0.025305352661151193	-0.0002147371463511738	0.0023285261235451715	0.026057345002918897	0.007159047557110387	0.04589672533427391	0.016958963651400927	0.02660451364101646	0.018613599717942075	0.024572688716911095	0.01091187131516902	0.014167728595533502	0.039860559371692195	0.03812183301575511	0.04972982015094307	0.009118294492699741	0.05027870142297819	0.028396111011003367	0.06673548122317974	0.044833098457505605	-0.0013811556297350647	0.04139613914174811	0.025190472719071044	0.0496296470348358	0.025806112329333608	0.015778884141946503	0.038482317234265595	0.03551673244467218	0.008412138232330335	0.03120205818630295	0.04128072254895987	0.016203105202640455	0.02984903734762312	0.026630842522811338	0.049317988555899084	0.05718371484728285	0.020874383700680288	0.04599703318120463	0.03323884998862897	0.05281671307916058	0.05747701938251426	0.042552723318900254	0.04282347825811017	0.019052490527416865	0.033333179708922855	0.031134122391963115	0.021473361308082528	0.016355650322832482	0.0476634914410739	0.03886110641217999	0.024125015331528	0.03532647402008948	0.03875740994401283	0.0654460690283652	0.04037293278074605	0.03995630595809002	0.07376732811607667	0.02540753774099369	0.06754148975280955	0.07512576899608336	0.02434206938800726	0.055449357429291135	0.03290445930768715	0.0234584227909978	0.03690017761342357	0.035489505155612444	0.027687912630129263	0.03833808612886236	0.04088159988263329	0.04600266530979774	0.04985151194598847	0.060139861390968385	0.04482730783352795	0.03479385059915263	0.03958163094108491	0.05328803621345818	0.030613502160937722	0.03782084701423727	0.05206908074288863	0.051526658719262874	0.05894619871771656	0.05435361649202619	0.05332324969361857	0.0374682301465169	0.04209116063298385	0.040898694420857806	0.061876227083436486	0.050847824734133795	0.06896447279875645	0.06918471123305575	0.04625099388546694	0.05862477995706672	0.06250672844853461	0.07321528028779228	0.06677879310817114	0.06837446589533908	0.06601435320562143
6_43	0.038622000962584724	0.0204779337470834	0.028933028429827146	0.028010624962542363	0.014454366055991708	0.017145693839504816	0.036987415621042574	0.04053246834799229	0.0298671086665947	0.027905169741476166	0.02078703194719289	0.01694495757323705	0.027063316565460238	0.024980935667317183	0.030462778242252186	0.02115405551300853	0.023670706429750332	0.0220500836284091	0.04356250789035443	0.030121416604852902	0.034519487034254004	0.046147267064780007	0.027939236265736134	0.015819834658898135	0.03728290559626857	0.028462781745636767	0.031203069241037162	0.012366829092938958	0.021091950823359518	0.024540374261074804	0.0033524039198595257	0.04006115575991209	0.03233914072156652	0.015941584056537006	0.02478203088802089	0.02832734325452302	0.022077707536755087	0.018489820690073044	0.02409443717570714	0.0317572077615782	0.036293284753305954	0.02873752647014577	0.04506877141290244	0.040221021104282495	0.030965508001665087	0.044954952208985044	0.030165995012365165	0.028117056063447055	0.03420545280421139	0.019619465551060755	0.03297168627833169	0.02720278267933829	0.030522803067568494	0.02449905929456153	0.015988443841211675	0.012243585640344445	0.02327168968282478	0.04009094774305366	0.037671775914542904	0.03391645416711386	0.04455485807263043	0.04338826223035025	0.05931991256516178	0.048059319029273906	0.02985934118821132	0.04956511066445646	0.0392736851797883	0.037891380258926466	0.045919897949808886	0.040619428553524184	0.05039493745339296	0.032128919054115856	0.043114471253572206	0.049737381969108485	0.04657017163859922	0.048543440775319247	0.04434868257205882	0.05011626756767795	0.04997971509546256	0.05160870717052246	0.048239799497951985	0.04458855752404345	0.050402243357318466	0.05984701677574944	0.06275617882325585	0.06098775677008772	0.054380324693377946	0.06645228738570763	0.055580663992002566	0.0704503171367516	0.07523724972477858	0.07720614186007829	0.06858149997123686	0.06942042219031364	0.0676431184131765	0.07828097019416774	0.07168580704903749	0.08100717281517988	0.08604492037793404	0.08509417949268827
7_36	0.019478190947027962	0.043968457541643136	0.035926354159522056	0.02526483893130138	0.024095952617235628	0.02071631777395533	0.01216930475233502	0.016495141278812908	0.04603484477768194	0.0078016879080939905	0.0223076664120887	0.03131912961361438	0.0257546972813818	0.022192919308277714	0.016234814245852214	0.03910437844215975	0.030442578223232597	0.033425681306076926	0.01791784788800488	0.0354558791321572	0.022354482531496855	0.03354835291543656	0.048076696717514245	0.0232581988498346	0.03337445047438348	0.027229814196937707	0.01637471560922743	0.010145833003099014	0.02875897267700467	0.03947391917219012	0.037646550436875426	0.014793202155374607	0.02559133939394309	0.040753772840876834	0.03490152676879399	0.027944491962747398	0.030401130735064674	0.030493070009732115	0.024925942823284974	0.03729027063998269	0.024860454270422827	0.021073805222105724	0.031833441274510044	0.037583527146485496	0.04820157854282858	0.0266770028654425	0.031999035443846524	0.02886331346569837	0.037532297600099906	0.026787250770766047	0.03599877311685895	0.03038351708010223	0.01926915179136912	0.04636491864722614	0.023734837667994557	0.031565118688639315	0.037774013868987155	0.03302356639194848	0.04315355452970149	0.042603816667157735	0.008467836237875725	0.0440488018364682	0.045732160668632726	0.030404932593578293	0.040250139308115496	0.023895790308852582	0.025497609482834527	0.03283529961979559	0.02885953344191361	0.03866387960739559	0.035441016912348244	0.04033896357583033	0.039628267514829174	0.035379902577713174	0.046884849850338584	0.03531372853676695	0.04307544548632003	0.04298897383387723	0.0373399799266364	0.04075106928146033	0.04936031509464334	0.052885432134426535	0.030188172905187716	0.056858376398972565	0.04306459948200425	0.05098450887014949	0.05553744310167319	0.05032306104961759	0.05591378219146914	0.05119635325409028	0.03875759121208994	0.04402989171987315	0.05626425419502151	0.049888425756388854	0.04545197999044909	0.06529776948980287	0.0586951997204565	0.05661784109837037	0.061436091261287906	0.07720416056358986
11_25	0.023351763019364258	0.015121983412808349	0.017897000899251614	0.029763020260505035	0.027064913667736112	0.031535464793480905	0.03335683870043671	0.035865195553343054	0.02857327967786716	0.029999460621628338	0.027820554717860935	0.03195352461151946	0.030733550178804858	0.03277594104502368	0.023932367258496012	0.016503845545928097	0.03214691275104398	0.024585055130365907	0.03719105659296068	0.021585305702581326	0.026808696353178618	0.01275506710677421	0.025094552394477332	0.03708599530702417	0.014652794259280899	0.027032713269072417	0.04084560990381553	0.018124728280754066	0.03853500433515267	0.034132953536573085	0.023951949615583112	0.02368879036932109	0.02416624863726491	0.04047584922955305	0.03001010065452603	0.017102130873965393	0.04377117342290027	0.03562553902397714	0.024830600186915686	0.04187759774883204	0.02973750485507498	0.04633682254346283	0.02324558063273785	0.02175871377446925	0.03713673393737704	0.016664950227419095	0.02035618917922566	0.05310760194123476	0.030013104509878152	0.01909713636353383	0.023030728545923695	0.03734352922721618	0.03523363426917325	0.01865903897332355	0.03312172711049477	0.027368586089997538	0.03904842316098517	0.023802901926099906	0.027219638686672154	0.053619726429500914	0.02763575218129999	0.0430944767207182	0.028610170777330968	0.0438778255409118	0.020395730594351402	0.029690781064765304	0.037293216530901674	0.03640390476447353	0.03262404542760711	0.021868598861691235	0.0475407433933977	0.021323043011438725	0.04314619397734598	0.03688414180841337	0.04657331495154704	0.030920685038746565	0.034772113492286594	0.03045889299883442	0.04049993084616954	0.037647992777530115	0.0398615982124757	0.04614771075621882	0.0412409264977448	0.0333008063836886	0.03413828983273515	0.04497861983618834	0.03844711224802233	0.04581367227343358	0.043995984683234735	0.05096729391579846	0.05041958482819853	0.04854024156630499	0.03630857498816359	0.05079813084455831	0.06373303572030631	0.05247666162644832	0.05395580225362667	0.05649107373192719	0.06335689559000723	0.06835350878063423
12_22	0.022334176449376297	0.029404924441410962	0.025506526396651297	0.016229246069256575	0.016342705635318533	0.023555395373925037	0.02546489510336314	0.05615072185276093	0.028080756588620748	0.023260349571619376	0.008509179709849435	-3.683762085099351e-05	0.024572264458957216	0.03870027909568374	0.0057330284169405665	0.030880560092876652	0.013945216092723922	0.019859162386399065	0.010484513855889888	0.0214162139453421	0.028627271002715227	0.019005533567465593	0.030045528752716155	0.05187117570824479	0.027469156501572223	0.02324593018353338	0.011817980032698627	0.02301286717103468	0.03221895349784609	0.04773249409110736	0.03967757666842031	0.006982960180679676	0.030465942810268487	0.0246883259468913	0.03356205156388192	0.036749645562712985	0.03682974174816844	0.006664481581313442	0.023395651168524934	0.048196174899116984	0.020952451937646166	0.0391112080324873	0.023809369077525178	0.021073390324263808	0.018827669198309804	0.03243416876627614	0.02856856588627188	0.01823942138003426	0.011101733238520706	0.035928761256604824	0.029119990697209608	0.018945730540755323	0.00043019787939868603	0.007600189776166499	0.04575827987502035	0.01029423032161525	0.004846891339201687	0.0349773754824233	0.033713490899966	-0.0006618068349243389	0.027736031046579623	0.004181864435408467	0.03259545627808047	0.012164271431718665	0.0060281173919276565	0.013828326801842872	0.02856556985950398	0.010077054349529713	0.023623663840726006	0.028854871461000076	0.01301702747253064	0.027578660782414666	0.00942366928914673	0.02784244753432341	0.022831751320345872	0.03591278499723127	0.02396720416888687	0.015361333626697782	0.011656565242078254	0.03751358972050611	0.05492645800754126	0.044000936835771665	0.0291023894015372	0.024446492655742946	0.02725677506835128	0.046733580387421925	0.05386947407866183	0.04983931634470962	0.05699248977917393	0.04349203307522587	0.052009742703108486	0.05064853286829318	0.0520205014054087	0.05373122209494685	0.03866920056689449	0.04529435110617597	0.041896493269474366	0.0589172249825225	0.03725989835881871	0.06052161494004343
12_24	0.006269028108401686	0.011822355824061326	0.003830904341604935	0.02857510156450571	0.014612268178167853	0.03293032848105537	0.0314497155953275	0.009875719997986199	0.001368360552021164	0.020864848907089506	0.018178249909810873	0.021129838162363357	-0.0014729082846182129	0.004802448087610711	0.026102526546999072	0.022130490339289044	0.005879238640100981	0.015077314223156058	0.02349034529346472	0.001135500767657227	0.021352077890478327	0.007276066232684508	0.0007390763452845839	0.0031786770533621667	0.012505332040394834	0.01680378661835491	0.016970104706821698	0.029332345796974968	0.015343691981825891	0.02359594136581128	0.020657704085119688	0.03287804531764571	0.031553166449868164	0.01797525095140473	0.021255800157379268	0.021477386063584736	0.0050751241566188154	0.034166282231377354	0.020418250761357948	0.01644210686230585	0.014794699949773005	0.028975011608154355	0.03825799895740045	0.00798120281815451	0.007108389332827536	0.012431445832838506	0.013419144908357827	0.029702676600048494	0.02896652717367232	0.014869756302252735	0.028464963630707607	0.051729575084969115	0.03546122349470204	0.027931289038019447	0.02101557766794071	0.0533330073872903	0.04731782234834092	0.029856035633534006	0.023078298139859288	0.032006374881490274	0.024973591945747886	0.04691297006860495	0.04147616025751222	0.04279186639702259	0.036012999713422644	0.04411676023686406	0.029677798605974415	0.0556380480894717	0.04534377480917362	0.043120118069284064	0.057363098094763976	0.038186419161068574	0.054283851195938704	0.05939156376110866	0.06394907515329007	0.04996777855363399	0.0415944416444185	0.04674107245307724	0.06403981652995072	0.04922379035826607	0.045764558593246574	0.03754774773878877	0.05049505211735872	0.05996529930917427	0.0617601920543715	0.039496662960491924	0.037061703406377156	0.03861448325113048	0.04355118485357268	0.06728390145408475	0.060014000151524416	0.06139138053605109	0.05560228334210782	0.06503995308435717	0.0672974295566317	0.054801269532983254	0.05874481000836396	0.061633858800224095	0.06751119539397521	0.08704138360925245
13_3	-0.004113242794572258	0.016006991971535656	0.009868685541680633	-0.020021459637450945	0.01338637988036262	0.038505758194845474	-0.00781558341257571	-0.018437211328363734	0.02442159205173755	0.023711434745864124	0.0009588189641580591	0.036870056936575135	-0.00029402578857740114	0.015481749209790618	0.00891078135811385	0.020603091566657405	-0.006574564093955848	0.002914358587381982	0.003858768896698228	-0.001430919164726041	-0.01019685615241872	0.006882183449768986	0.007092250283834645	0.018857185481022498	0.01945928777307937	-0.007597710453293716	-0.021626173486090305	0.024763261324553976	0.013866751305846692	0.03776318963171882	0.03478612545226151	-0.007403454245643704	-0.003061408204131588	0.031028138670477934	0.01789018228519812	0.0006771544457672141	0.016909605660695104	0.029900344091269737	0.02746094411102523	0.022281385670177456	-0.01814539899607298	0.018330877976840465	-0.0033665159143468903	0.020638859895601547	0.02550379415774673	0.026721371548459105	-0.0013424439272041733	0.04297523405865272	0.012182978350315232	-0.0022836505012676644	0.0019401816614893486	0.06171888277703008	-0.013927942838644736	-0.004889056828165761	0.004524237011896859	0.009334361381495737	0.036920753070875056	0.02799236968494201	0.03476856747754009	0.009864157046641786	0.017158074880096408	0.038014879022423786	0.0032247716276434524	0.02133509131757394	0.022312127175780794	0.005866415417307147	0.020159550548110805	0.01541128343331688	-0.005374624178432819	0.014047126548961009	0.012641477563802905	0.013543310910716366	0.016405395274718737	0.018963590926864504	0.0075550521417021566	0.02478413580105865	0.005021543178572396	0.01681881926236861	0.02901934284555041	0.01235934946200723	0.013196194847923226	0.014036636073640696	0.027861865565489252	0.027997447527608965	0.01904388238220789	0.03035632182727499	0.0280784831208426	0.03140563459975054	0.02794601369427341	0.03223242419150735	0.029362410065543076	0.026246913760280766	0.047628996879725494	0.026042528523280206	0.031177503417851193	0.040094797772879276	0.03728373272422508	0.04391017181668089	0.03145570767446326	0.038293741064637454
