net_node	b3340	b3834	b0004	b3541	b0990	b3315	b0765	b1375	b4744	b3542	b0754	b3985	b4720	b0570	b3320	b0929	b1344	b0174	b3072	b3779	b1766	b2378	b1043	b0572	b1551	b3966	b3780	b4749	b3279	b3543	b0408	b1557	b3347	b4724	b1421	b1552	b1044	b0575	b3556	b1891	b0573	b1892	b0574	b4495	b1950	b4109	b1566	b3666	b1742	b1879	b1937	b1878	b1925	b1194	b4110	b1949	b1926	b1882	b1881	b1083	b1070	b1887	b1072	b1921	b1904	b1071	b1884	b1923	b3525	b1924	b1880	b1948	b1081	b4355	b1073	b1883	b1943	b1944	b1079	b1076	b1940	b1074	b1888	b1886	b1080	b1946	b1947	b1945	b1942	b1075	b1885	b1941	b1889	b1922	b1078	b1939	b1890	b1082	b1077	b1938
0_0	0.004568405435380951	-0.0023361502316789906	0.005854400032698659	0.016409814965610448	-0.0008927818948818445	-0.0029196815659112696	0.010129121875593783	0.00944630399842683	0.009566592923342165	-2.7082072677542257e-05	-0.014480728152968525	0.0015703159020581392	0.054027405956716956	0.03693851027078676	0.016006139920963225	0.015678002954401915	-0.003060336792902185	0.03738228388430409	0.04068920565155637	-0.002916250413596444	0.02120216987701351	-0.03465065323979666	-0.00032917573614132944	0.02824830039601889	0.010740559829542001	0.0012391182632915942	-0.017181642041259382	0.007167478822381695	0.002283384338481742	0.019238945916108974	0.021666150434420328	0.004681999286429761	0.006634884563287147	0.014591506178370517	0.009847970344253831	0.01843940096461394	0.029015453244884692	0.028308820404376323	0.008171694586038392	0.027788655385753924	0.03934458968679966	0.0387894881823142	0.03821286996927287	0.011361244103698986	0.003763611052805149	0.02304055772224456	0.04145781811631777	0.024023829065415836	0.02917385462409572	0.012677297960945744	0.034182118315892074	0.037010882375479226	0.03665255739916151	0.038849838497183486	0.013462481124414949	0.026499721956118272	0.03489374807067985	0.04590279085690041	0.04659054039217109	0.034110637927226795	0.021504830222256133	0.03805290663609123	0.02141064530877279	0.03592650447096424	0.010433617982023469	0.031687326309435826	0.049671683978756986	0.050106732684143784	0.03273417484948926	0.018924555467465243	0.021899996506465902	0.01944989655147794	0.020405725958267507	0.03936500063917148	0.013660809983646272	0.03938330456578926	0.03255023892322306	0.02231910159976569	0.02590379351069616	0.029840696141140266	0.02856307800985003	0.02563664986190195	0.03577549951917586	0.03248549179054572	0.026825096244764368	0.032554527399644706	0.01931819418450198	0.01600322535955312	0.028345481731267552	0.02170151309977153	0.040074160326096286	0.029658283185912404	0.020938933060152543	0.03416730266223389	0.017983442734798794	0.034057099905170085	0.04663958190091977	0.027516191493407727	0.019724212932297258	0.0294326138322325
0_8	0.031889791478816654	0.028250650306573033	0.037099479563712956	0.028869622249150573	0.025986021175989804	0.038847076712013595	0.027361551398152217	0.031838153135859304	0.023693674051081803	0.04296323417071324	0.029237714917940694	0.03184048767659209	0.012195012898050916	0.028557688451929186	0.029985695251313338	0.03158508768283208	0.02433060933030362	0.02865421347132857	0.0269371255111045	0.02937261465984231	0.038520533619472275	0.03865194675231598	-0.0023804541231425835	0.024449655859067443	0.02393628945228679	0.047634242973846774	0.022820125137360314	0.032994576659516106	0.028789972592399238	0.041152147952617346	0.04500514381361609	0.029937723215271217	0.02695210192820796	0.04467268778139155	0.016215737818806975	0.03443082523112595	0.019893976312515216	0.03512613903733086	0.037557169314129	0.05491093141470105	0.03981952131120248	0.04278974973391125	0.029878928621945744	0.0393127249126089	0.034939757522957415	0.04177169864554153	0.03967472954903606	0.06370954958266051	0.068205380981955	0.07107282304308349	0.05280334928416991	0.07029142586861525	0.06968352411657125	0.08207519942657676	0.07343314223179565	0.08104932501045492	0.07891964530341539	0.08512609377707059	0.0803815909645455	0.07827397318245632	0.07514210240016128	0.083427767608096	0.08607175199431716	0.08178311499237767	0.09485402331028986	0.08099183178663072	0.09993558849903622	0.09169727115684645	0.09069040803341094	0.08696120693479076	0.0972023105083365	0.08534664009722165	0.08885152712910982	0.0922194103753689	0.09264449853481127	0.10323816244930184	0.0915718570897519	0.1000903292619818	0.09453489763628026	0.10379385566834765	0.10404884156253014	0.10299415418480451	0.10844594945735442	0.10841891323864622	0.1057936862587735	0.09888523715916248	0.11020376007539145	0.1048416536777641	0.09527208809067256	0.10628895401790395	0.10658591072340373	0.11265822718280344	0.11939654019798857	0.10464444853994226	0.119311495572693	0.11157955420050586	0.1277996573061353	0.11369738842240579	0.11877175739614654	0.11973917013302765
0_11	0.036264607223157164	0.04007765717986944	0.03652391316782444	0.02377565489685507	0.030340752078855893	0.0396317767422768	0.028778124266864324	0.04214153755260558	0.025511577780968464	0.032508205117466216	0.028669998361454896	0.0262928615370428	0.034033003067587275	0.03297985980424789	0.033577895507417965	0.03211754524382204	0.028384070807877082	0.033944611228907795	0.039804260734404295	0.03703820202683916	0.04709106526037066	0.03199612199766444	0.011789225257621938	0.03561954645777643	0.034840714894254415	0.04412169018197454	0.021164261679769147	0.046263125171048275	0.03278140837194288	0.040426582445476145	0.04268966914813488	0.03835699194737374	0.03918912359332627	0.055004875719349255	0.0277680858252069	0.04972953878469988	0.03241825506596285	0.04801284635758485	0.04206056255725188	0.0496000869335379	0.0523685376760783	0.04126812732913454	0.04885008484732467	0.04853851205587478	0.04770625751964863	0.0632397311712879	0.06455401239519243	0.07528213808537199	0.08730660485526948	0.0860704466984501	0.07024081783191743	0.09345217600343975	0.0906280233651372	0.10068630486049307	0.099847529659285	0.10055200416539256	0.10131687021458652	0.11069350725057114	0.10618719204064692	0.10089626193954515	0.09790461596838884	0.11168819539022168	0.09788703331304072	0.1101564727637312	0.10490410561905122	0.11276886472996461	0.12836485744262516	0.12291121339819966	0.11795506963195262	0.11708458394553967	0.1245959792887027	0.10473691260323387	0.10880868579020753	0.12126930263048269	0.11475841380730456	0.14018521358583214	0.11646173063475573	0.11687861598678595	0.1142773994836867	0.1176454740653381	0.12426782052554974	0.1311340107108805	0.13941151282748737	0.1381130622710009	0.12652863178884466	0.11955466068192072	0.13328129573660552	0.12773104476247266	0.1154493790826665	0.12962985457941067	0.14294917289839792	0.13288145661810874	0.15146981817333688	0.13405648123700087	0.15290622198186737	0.13257441406564358	0.1620319012618645	0.15219374018163984	0.1500605272044444	0.14942698141516414
0_15	0.026916903274266546	0.008908419473976581	0.02819050783062671	0.01873508002576796	0.005540154437197797	0.028999756247610642	0.02915419499851757	0.024787000675368265	0.009261592774150285	0.020505671039832696	0.01316985679453997	0.021206379404140163	0.03880113006775543	0.030344895109268966	0.024641897359871212	0.027154541719106917	0.009297012874882715	0.03347264747234935	0.038227604258769254	0.015358084060613453	0.04407145617623809	-0.005271074985987223	0.029873544197511204	0.034576168312326794	0.022772124667355648	0.019292321154711134	-0.004377515346112637	0.037474761873896256	0.012526622783863739	0.0224583282799089	0.03467143627707059	0.02161664068045477	0.034310424562871644	0.032789205996646476	0.04188653116189206	0.02684168809173426	0.0510568686422645	0.04306944686924874	0.018614157241074847	0.050390567358659544	0.04561439584085469	0.04640553356858945	0.048252168451332955	0.06451402617086638	0.05417438268755198	0.057319966509210896	0.08398673268608292	0.07413714588177778	0.0941524432124034	0.07533396329275066	0.0776051957700098	0.09073688396711882	0.09360724587048569	0.11025801622144205	0.09131231359989	0.10050864366752577	0.10335342106864548	0.11070171330947498	0.10435836318152297	0.0915348357012552	0.09117343170903036	0.11138025375589955	0.0795286259317991	0.11031897253343459	0.09604275035801285	0.10513592774489777	0.124072912925144	0.12490219294902383	0.11965687589900054	0.1135499296015311	0.11455269743354446	0.1050812605096833	0.09842176556546967	0.1256030974408197	0.10474148520926485	0.12506368987959127	0.11159520724631711	0.1085318165610617	0.1054879074369281	0.1043771174566247	0.11387251022319933	0.12127833854794379	0.14187774279078308	0.14162102602277887	0.11747794886805463	0.11828940674878846	0.11545100105171291	0.11659697012136483	0.11992315655462216	0.1172824527351306	0.14463196739443612	0.12227498791811126	0.1441838952055045	0.1252843586884097	0.1389879147800615	0.12303942587685385	0.1512739005848076	0.14130450227190866	0.12835229238599755	0.13782749850420267
0_20	0.028195094447526103	0.0036801391315097187	0.02480907136817201	0.011606380866588606	-0.003829961071673549	0.021434388256718284	0.011669203049717969	0.009108209334441175	-0.002441739351859984	0.0025995664772827665	0.009141311441518085	0.013830672703479707	0.06834063992125838	0.023254044963843534	0.02999756640061446	0.018179888991480042	-0.002017201550536196	0.04821133892973972	0.02383101092681511	0.010534729399714005	0.04688069692356234	-0.033803473739410284	0.009485285227799123	0.029759822534671687	0.012848580344741012	0.018834612091497505	-0.015981328854592913	0.014137714889965847	0.008393070614916454	0.023827934619797375	0.03772794532278678	0.006195301760945848	0.0360244029332637	0.017688336174289165	0.006800459653139135	0.011304882862086973	0.016401632090908447	0.03934495006982419	0.012962170943983775	0.014998796127981162	0.03499771467850454	0.025650576025862848	0.04239067784118988	0.016272539620761695	0.011275189503037852	0.02777399497118227	0.035012086699071465	0.014952074763117551	0.037732353878524694	0.0189365979763344	0.031125968211782096	0.041582369842421085	0.04264192763232483	0.04898556912838348	0.032760231268637585	0.03200997186107901	0.043987933171507676	0.051501820362368944	0.05408484798856389	0.038784174033032914	0.024279450868625707	0.059878469070944296	0.012336195636107328	0.035481519595288	0.01377260926028756	0.03916596205301748	0.05939189836014652	0.05463885939878288	0.049924831770549905	0.043566233968323376	0.03486620486683689	0.03245753220624237	0.021848422033555637	0.0631405636379842	0.030723494962840547	0.06397643164253392	0.03779946814152424	0.026798384889662907	0.035137485581827776	0.03906104350990269	0.03699095318873369	0.041988879094078446	0.06513143918269121	0.051419644868438474	0.03411928479095239	0.03886574260684694	0.03088236337510497	0.03435704947323137	0.04359380910310201	0.029305831561629136	0.05947934804410049	0.04031568202595326	0.05058168641849009	0.03814605832486162	0.04998612363082672	0.03587417929536557	0.06771672876767287	0.05554932821322317	0.04383782822370663	0.04358432242277582
0_22	-0.02704476478951867	0.018299182776021272	-0.04805618355556984	-0.011924021101432203	-0.06781745691447727	-0.04827192671136038	0.027787983817032624	-0.06165791026138634	-0.05139974633714883	-0.03512337041420477	-0.030171967639831765	-0.029823061064635725	-0.08678233950941205	-0.020877406078426253	-0.050815241277524126	-0.0366222897787154	-0.011556313917324923	-0.056737372987602175	0.013812810303045653	-0.010417157215325434	-0.047896381950275846	-0.04606534625161263	0.026208583787021955	-0.02192882366879323	-0.040435056992492585	-0.023123483005559053	-0.001895299940651407	-0.04579118800494003	-0.012083354571644334	-0.0350501741937469	-0.050128951297105706	-0.053140022351087945	-0.02710071034347883	-0.073241623962578	0.0553080310035598	-0.06475017465436478	0.013348689755979526	-0.02620936220293868	-0.05679638327494074	-0.02078503072260096	-0.05296147469638701	-0.03229769765756063	-0.0236182792657178	0.012459086488520454	0.03532134442199336	0.004707135906175219	0.049315725980013825	0.040961888679797276	0.014945459003068762	0.005017860219891923	0.024644165086457948	0.0037732810655582982	0.03075078765951411	0.045220071021315866	0.05260121487444824	0.02448766934465607	0.016587317490463216	0.016178192872088548	0.020613400151249073	0.015484962752871145	0.04453423410999957	0.02701808625261276	0.024216211068439852	0.06060482703899528	0.01574398357335266	0.04237996952282097	0.01350412382070737	0.050391980261281	0.05466588072965001	0.05628058606123454	0.028540267583714585	0.028617091719994714	0.039176940215848166	0.028829926399666084	0.039819010357791895	0.01815172143077992	0.031078225885814548	0.013581335357498836	0.03160867210877699	0.025363242063559444	0.018059083248441965	0.0366929061510024	0.04568496683108236	0.05670321224066488	0.027853318358067314	0.012609466694229188	0.023453073606586328	0.03680144700306798	0.02958498787463154	0.0389342676451494	0.028773458080404823	0.02803205088485522	0.05042134019630018	0.05319667138500728	0.04172599233290081	0.03977978955561129	0.025611386675808034	0.05801863293700088	0.048030643000365636	0.0483763069515471
0_23	0.02008900438480099	-0.012160977748992607	0.02670793896937984	0.02747097732000503	-0.015229875487214883	0.019633565707495637	0.025804291810731073	-0.005993214965440419	-0.003928442828847856	0.023010509690488568	0.00204691256562084	0.02208099400926622	0.06302129640121001	0.03763477086297451	0.030034468088156463	0.03512571970560785	-0.005830206789850911	0.05784526655578148	0.039171527489341884	0.0022879223650761338	0.04648647690384278	-0.04796891389465213	0.009126088334977078	0.03288440329257303	-0.0054875480222893736	0.02309861499000021	-0.02187699186091141	-0.002110001469938061	-0.0008074718517332435	0.03181877718476145	0.04431376378087959	-0.010364378774533556	0.025257281893857675	-0.0033806666900519367	0.016840515962832814	-0.006130656846010163	0.02896551727111113	0.03681485500874715	0.0032285022130413843	0.04374306665135341	0.042265597030946456	0.05590151591390369	0.041054475826641124	0.033050381780725	0.01937454321978338	0.03386493101227128	0.04966896054701114	0.031401649090726735	0.052704140837476876	0.03508514983045785	0.055624294518628714	0.05787792832508132	0.05462284532053979	0.07023584353889456	0.038400958104424565	0.050014714087351364	0.059900620602090004	0.07196578341681892	0.06589402986774245	0.04981453100586419	0.028959777257815733	0.07313120487140123	0.031220975269226736	0.044773528150786834	0.036343231518361	0.042607140925404186	0.07316679545656307	0.06161025849598334	0.06647105898678835	0.04710317497290589	0.048336690810833915	0.055895400291361974	0.03974972900792906	0.07317433018945113	0.0407112679580115	0.0694692383841709	0.06393126187903575	0.051628846377952065	0.05140878942126498	0.053651489180803646	0.0509633278233268	0.0507773210435708	0.07648711175203127	0.06972014331645915	0.056844779953239444	0.05883779785717019	0.049961126211558016	0.04823177546608948	0.060473331328041335	0.04218333975430899	0.07308216186996208	0.05996021986566191	0.06423244181658311	0.0533660395358706	0.05495594983493052	0.060360053139666026	0.07683847062338672	0.057770537096884234	0.05349290536611673	0.05645579572364606
0_24	0.026017143816343236	0.010012175638515197	0.03887136512417255	0.01439127099036941	0.03064153029138239	0.0458307525171614	0.01131657840354261	0.03987477428908631	0.02528366169624019	0.03502558840361303	0.03941847941576837	0.02992725305841748	-0.014067769379353834	0.004548818791186182	0.020547015054747098	0.03366019801009057	0.01082005314532064	0.010260604207991686	-0.0020190294409046516	0.015086309423690936	0.01349117230716379	0.049385716936582114	0.000591966559314705	0.0033855916187747193	0.0102813008638519	0.01685727854276009	0.009925846008136063	0.01722820818495477	0.035512291349072744	0.02223515647112939	0.02814670360769067	0.03718634520302866	0.023991169688862057	0.030107369457323452	-0.004615094506153272	0.03692041572634558	0.003371256435246106	0.013109907502862894	0.041356196783387755	0.032236848670839646	0.027305906569155436	0.021903442080879465	0.017516650731397854	0.011888833599726811	0.007528650402355064	0.03294921337674117	0.021054361068791994	0.0128457870999934	0.029750365698169634	0.04052580177117282	0.026066288412751604	0.03782822660647095	0.030547852441084267	0.024157367531759844	0.03659061398414032	0.04096679689132443	0.04177483912388019	0.04841230433101329	0.04580633068495937	0.047618493835985154	0.055155131398981205	0.04179381796371079	0.05168251697785475	0.041952304000913765	0.06227077715501522	0.045408575223434666	0.04926072174967244	0.041036961518785775	0.033693833067476975	0.05005630395002053	0.05422554167613458	0.041414768192995	0.04483052031581103	0.03576420924742674	0.06314151321408956	0.051210477216293904	0.04665785024016711	0.0604027726590366	0.05821983905152456	0.058637385917683305	0.05427382965942973	0.07515043978584035	0.04385794253764713	0.054767404565609024	0.05088830684085077	0.05433551488534932	0.054738828826423	0.05645684694482023	0.050042543532111905	0.07494340181506287	0.0546284863840214	0.057600187577603545	0.07183858617132582	0.0687833194527967	0.07333104590413048	0.05811534369863153	0.07314214923405893	0.0618236948226385	0.06222442925609761	0.06876304382643644
0_26	-0.004185776421655074	0.03912051749696832	0.0023254364199983835	0.0009605174089587498	0.07194218379646622	0.0005026482784863395	0.019889871865650388	0.05599165753531482	0.05382051984256164	0.01575984146184961	0.035279585070235986	0.011000617176317617	-0.009324735402044815	-0.018549405800202368	-0.009376893186943347	-0.01079127935634805	0.01502978226530216	0.015558855654950299	-0.010579579078928203	0.06425399946523735	0.0071930290011226194	0.09649986174363956	0.035531808126203934	-0.03989694598458582	0.06095027641421699	0.021007869660056855	0.04071546393161507	0.06904999465044218	0.037406115118246985	0.018159749416246318	0.0009655980480731685	0.05651199806089002	0.01903413518560354	0.06187123831375013	0.03294643039461853	0.07133205362409883	-0.008748680649416418	-0.01159539495574291	0.04325425510605996	0.012828536772772958	-0.031298745078915835	-0.013568015193946348	-0.01916331700641949	0.03733138261073943	0.03897986589710206	0.018871240050297278	0.00401578040328926	0.01940536915790264	0.011985000074255958	0.028962211034465724	0.0011283412220639	0.02124648210139174	0.004005844914649337	0.006088193050508672	0.05202362187171761	0.029414578015725223	0.017922215157393784	0.015633458174772463	0.006590701187072723	0.023807491950766035	0.05026739998573959	0.008217005691353085	0.027124021055057956	0.0393894349966033	0.05223697575507297	0.03612144655721289	0.016831264257734846	0.015951227425164416	0.02533148958281689	0.0473458343709931	0.048644373947081876	0.049765367529164495	0.05896635483004775	0.013893139466604698	0.04432577384308445	0.030656585835481087	0.039423660772354374	0.037550294811063756	0.04200839795058525	0.03954772820511632	0.043731173603805296	0.04496786663026053	0.0254822480281352	0.02721780646650601	0.05930574372788078	0.023964215467708994	0.06197130458022071	0.0690599278293954	0.03681770882267266	0.049572554511419065	0.02059559146990364	0.05088710255906015	0.06780351282731373	0.06331604118498302	0.07039089748808475	0.04544446819254272	0.05020337087038135	0.05718881186457753	0.06518764805796406	0.059412752870515784
0_29	0.044044477468132115	0.018874872142740973	0.028758149287733126	0.025519909766136828	0.006062333386898322	0.04006235608062536	0.020065536152625518	0.005124217833990308	-0.0017718846279726197	0.031994438230724676	0.0077080279025055765	0.03209883376001632	0.021930785667090724	0.043921436286398	0.029318635209154342	0.0519027378718282	0.012951206274669613	0.04364191105945292	0.04416850537001549	0.007250053195017259	0.0347228452866174	-0.0277232316042062	0.022467336373335867	0.05277085819154159	-0.01768033566685312	0.03385474944070621	0.0012053373499074649	-0.0025616503582435723	0.012560382158768868	0.02933347241540829	0.045265399158504804	-0.0026810702897093197	0.012185321637364466	-0.01090015958469115	0.0268800623064136	0.006771368769687036	0.0453077990804967	0.07022138902353325	0.00935677353328368	0.049840026807803195	0.06341217391660292	0.05183003601647118	0.0707411256059729	0.04128478552763015	0.03391431496844538	0.05211081477055912	0.05445920626352435	0.04718097388514436	0.06984386706043039	0.07723161806024115	0.08618116546662163	0.08778474056634872	0.07782196252987028	0.07569683759489193	0.06977780809198197	0.09299261054466557	0.08279986384571825	0.08701683114365188	0.08404795432263129	0.0762326484138931	0.07896079932186095	0.08032555491194282	0.0878738703270251	0.09200634071978786	0.08667648923496835	0.08882142347341748	0.09786003704149404	0.0883213618503566	0.0786327272472846	0.07774614103194233	0.10053493675573266	0.09342012423322327	0.08831641814665991	0.09222861436766339	0.11034119599639713	0.08652083435083474	0.10709251430945654	0.10324164261043867	0.09438335234042566	0.10074346442409376	0.10713365546302434	0.11499882989095112	0.09725886545472623	0.09101872971394298	0.09788596001386407	0.09831656944665884	0.0946850314498392	0.09786332594850167	0.10893167656508462	0.11002902624656907	0.10104371068902918	0.11503850453503744	0.09652295743127398	0.10983277329147789	0.11446274431822073	0.11585743756936212	0.10838559586683216	0.10203506713472704	0.11094012327184244	0.12301177086546128
