Gene set	size	genes
Op:emrKY	2	b2368,b2367
Op:entCEBAH	5	b0593,b0594,b0595,b0596,b0597
Op:envY-ompT	2	b0566,b0565
Op:epd-pgk-fbaA	3	b2927,b2926,b2925
Op:essD-rrrD-rzpD	3	b0554,b0555,b0556
Op:essQ-ydfR-rrrQ-rzpQ	4	b1556,b1555,b1554,b1553
Op:eutBCLKR	5	b2441,b2440,b2439,b2438,b2437
Op:eutHA	2	b2452,b2451
Op:eutNEJG	4	b2456,b2455,b2454,b2453
Op:eutSPQTDM	6	b2462,b2461,b2460,b2459,b2458,b2457
Op:evgAS	2	b2369,b2370
Op:exbBD	2	b3006,b3005
Op:fabR-yijD	2	b3963,b3964
Op:fadBA	2	b3846,b3845
Op:fadIJ	2	b2342,b2341
Op:fdnGHI	3	b1474,b1475,b1476
Op:fdoGHI-fdhE	4	b3894,b3893,b3892,b3891
Op:fdrA-ylbEF-ybcF	4	b0518,b4572,b0520,b0521
Op:fecABCDE	5	b4291,b4290,b4289,b4288,b4287
Op:fecIR	2	b4293,b4292
Op:feoABC	3	b3408,b3409,b3410
Op:fepA-entD	2	b0584,b0583
Op:fepDGC	3	b0590,b0589,b0588
Op:fes-ybdZ-entF-fepE	4	b0585,b4511,b0586,b0587
Op:fetAB	2	b0490,b0491
Op:fhuACDB	4	b0150,b0151,b0152,b0153
Op:fimAICDFGH	7	b4314,b4315,b4316,b4317,b4318,b4319,b4320
Op:fixABCX	4	b0041,b0042,b0043,b0044
Op:fldA-uof-fur	3	b0684,b4637,b0683
Op:flgAMN	3	b1072,b1071,b1070
Op:flgBCDEFGHIJ	9	b1073,b1074,b1075,b1076,b1077,b1078,b1079,b1080,b1081
Op:flgKL	2	b1082,b1083
Op:flhBAE	3	b1880,b1879,b1878
Op:flhDC	2	b1892,b1891
Op:fliAZ-tcyJ	3	b1922,b1921,b1920
Op:fliDST	3	b1924,b1925,b1926
Op:fliFGHIJK	6	b1938,b1939,b1940,b1941,b1942,b1943
Op:fliLMNOPQR	7	b1944,b1945,b1946,b1947,b1948,b1949,b1950
Op:focA-pflB	2	b0904,b0903
Op:folC-dedD	2	b2315,b2314
Op:folD-ybcJ	2	b0529,b0528
Op:folE-yeiB	2	b2153,b2152
Op:folP-glmM	2	b3177,b3176
Op:folX-yfcH	2	b2303,b2304
Op:frdABCD	4	b4154,b4153,b4152,b4151
Op:frlABCDR	5	b3370,b3371,b4474,b3374,b3375
Op:frmRAB	3	b0357,b0356,b0355
Op:fruBKA	3	b2169,b2168,b2167
Op:frvABXR	4	b3900,b3899,b3898,b3897
Op:frwCB	2	b3949,b3950
Op:fryBC-ypdFE-fryA	5	b2387,b2386,b2385,b2384,b2383
Op:ftsYEX	3	b3464,b3463,b3462
Op:fucAO	2	b2800,b2799
Op:fucPIKUR	5	b2801,b2802,b2803,b2804,b2805
Op:fumAC	2	b1612,b1611
Op:gadAXW	3	b3517,b3516,b3515
Op:gadBC	2	b1493,b1492
Op:gadEF-mdtEF	3	b3512,b3513,b3514
Op:galETKM	4	b0759,b0758,b0757,b0756
Op:gapA-yeaD	2	b1779,b1780
Op:garPLRK-rnpB	4	b3127,b3126,b3125,b3124
Op:gatYZABCD	6	b2096,b2095,b2094,b2093,b2092,b2091
Op:gcl-hyi-glxR-ybbW-allB-ybbY-glxK	7	b0507,b0508,b0509,b0511,b0512,b0513,b0514
Op:gcvTHP	3	b2905,b2904,b2903
Op:gfcBCD	3	b0986,b0985,b0984
Op:gfcE-etp-etk	3	b0983,b0982,b0981
Op:ghoST	2	b4128,b4559
Op:glaH-lhgD-gabDTP	3	b2661,b2662,b2663
Op:glcDEFGBA	6	b2979,b4468,b4467,b2977,b2976,b2975
Op:glf-wbbH	2	b2036,b2035
Op:glgBXCAP	5	b3432,b3431,b3430,b3429,b3428
